Year,Country,Energy_Consumption,Growth_Rate
1997,Japan,511.0,511.0
1998,Japan,502.0,502.0
1999,Japan,510.0,510.0
2000,Japan,520.0,520.0
2001,Japan,511.0,511.0
2002,Japan,513.0,513.0
2003,Japan,509.0,509.0
2004,Japan,526.0,526.0
2005,Japan,524.0,524.0
2006,Japan,524.0,524.0
2007,Japan,519.0,519.0
2008,Japan,500.0,500.0
2009,Japan,477.0,477.0
2010,Japan,503.0,503.0
2011,Japan,466.0,466.0
2012,Japan,456.0,456.0
2013,Japan,457.0,457.0
2014,Japan,442.0,442.0
2015,Japan,434.0,434.0
2016,Japan,429.0,429.0
2017,Japan,434.0,434.0
2018,Japan,428.0,428.0
2019,Japan,416.0,416.0
2020,Japan,386.0,386.0
1990,Malaysia,21.0,21.0
1991,Malaysia,26.0,26.0
1992,Malaysia,29.0,29.0
1993,Malaysia,32.0,32.0
1994,Malaysia,32.0,32.0
1995,Malaysia,34.0,34.0
1996,Malaysia,38.0,38.0
1997,Malaysia,44.0,44.0
1998,Malaysia,42.0,42.0
1999,Malaysia,42.0,42.0
2000,Malaysia,48.0,48.0
2001,Malaysia,51.0,51.0
2002,Malaysia,52.0,52.0
2003,Malaysia,56.0,56.0
2004,Malaysia,60.0,60.0
2005,Malaysia,66.0,66.0
2006,Malaysia,66.0,66.0
2007,Malaysia,73.0,73.0
2008,Malaysia,76.0,76.0
2009,Malaysia,72.0,72.0
2010,Malaysia,73.0,73.0
2011,Malaysia,76.0,76.0
2012,Malaysia,77.0,77.0
2013,Malaysia,87.0,87.0
2014,Malaysia,89.0,89.0
2015,Malaysia,85.0,85.0
2016,Malaysia,88.0,88.0
2017,Malaysia,85.0,85.0
2018,Malaysia,94.0,94.0
2019,Malaysia,96.0,96.0
2020,Malaysia,88.0,88.0
1990,South Korea,94.0,94.0
1991,South Korea,101.0,101.0
1992,South Korea,111.0,111.0
1993,South Korea,125.0,125.0
1994,South Korea,133.0,133.0
1995,South Korea,146.0,146.0
1996,South Korea,158.0,158.0
1997,South Korea,172.0,172.0
1998,South Korea,158.0,158.0
1999,South Korea,174.0,174.0
2000,South Korea,190.0,190.0
2001,South Korea,193.0,193.0
2002,South Korea,201.0,201.0
2003,South Korea,206.0,206.0
2004,South Korea,212.0,212.0
2005,South Korea,214.0,214.0
2006,South Korea,218.0,218.0
2007,South Korea,227.0,227.0
2008,South Korea,232.0,232.0
2009,South Korea,234.0,234.0
2010,South Korea,256.0,256.0
2011,South Korea,267.0,267.0
2012,South Korea,271.0,271.0
2013,South Korea,272.0,272.0
2014,South Korea,277.0,277.0
2015,South Korea,283.0,283.0
2016,South Korea,293.0,293.0
2017,South Korea,295.0,295.0
2018,South Korea,296.0,296.0
2019,South Korea,293.0,293.0
2020,South Korea,283.0,283.0
1990,Taiwan,48.0,48.0
1991,Taiwan,52.0,52.0
1992,Taiwan,54.0,54.0
1993,Taiwan,58.0,58.0
1994,Taiwan,60.0,60.0
1995,Taiwan,63.0,63.0
1996,Taiwan,67.0,67.0
1997,Taiwan,71.0,71.0
1998,Taiwan,75.0,75.0
1999,Taiwan,79.0,79.0
2000,Taiwan,85.0,85.0
2001,Taiwan,86.0,86.0
2002,Taiwan,90.0,90.0
2003,Taiwan,94.0,94.0
2004,Taiwan,96.0,96.0
2005,Taiwan,98.0,98.0
2006,Taiwan,100.0,100.0
2007,Taiwan,105.0,105.0
2008,Taiwan,101.0,101.0
2009,Taiwan,100.0,100.0
2010,Taiwan,106.0,106.0
2011,Taiwan,105.0,105.0
2012,Taiwan,105.0,105.0
2013,Taiwan,107.0,107.0
2014,Taiwan,109.0,109.0
2015,Taiwan,107.0,107.0
2016,Taiwan,109.0,109.0
2017,Taiwan,107.0,107.0
2018,Taiwan,110.0,110.0
2019,Taiwan,108.0,108.0
2020,Taiwan,105.0,105.0
1990,Thailand,42.0,42.0
1991,Thailand,46.0,46.0
1992,Thailand,49.0,49.0
1993,Thailand,51.0,51.0
1994,Thailand,57.0,57.0
1995,Thailand,62.0,62.0
1996,Thailand,69.0,69.0
1997,Thailand,71.0,71.0
1998,Thailand,66.0,66.0
1999,Thailand,71.0,71.0
2000,Thailand,72.0,72.0
2001,Thailand,74.0,74.0
2002,Thailand,82.0,82.0
2003,Thailand,89.0,89.0
2004,Thailand,96.0,96.0
2005,Thailand,99.0,99.0
2006,Thailand,101.0,101.0
2007,Thailand,105.0,105.0
2008,Thailand,108.0,108.0
2009,Thailand,108.0,108.0
2010,Thailand,118.0,118.0
2011,Thailand,118.0,118.0
2012,Thailand,126.0,126.0
2013,Thailand,136.0,136.0
2014,Thailand,136.0,136.0
2015,Thailand,136.0,136.0
2016,Thailand,139.0,139.0
2017,Thailand,139.0,139.0
2018,Thailand,136.0,136.0
2019,Thailand,137.0,137.0
2020,Thailand,125.0,125.0
1990,India,306.0,306.0
1991,India,318.0,318.0
1992,India,330.0,330.0
1993,India,338.0,338.0
1994,India,351.0,351.0
1995,India,371.0,371.0
1996,India,383.0,383.0
1997,India,398.0,398.0
1998,India,407.0,407.0
1999,India,431.0,431.0
2000,India,441.0,441.0
2001,India,448.0,448.0
2002,India,462.0,462.0
2003,India,474.0,474.0
2004,India,500.0,500.0
2005,India,515.0,515.0
2006,India,533.0,533.0
2007,India,568.0,568.0
2008,India,604.0,604.0
2009,India,663.0,663.0
2010,India,701.0,701.0
2011,India,734.0,734.0
2012,India,766.0,766.0
2013,India,779.0,779.0
2014,India,822.0,822.0
2015,India,835.0,835.0
2016,India,852.0,852.0
2017,India,883.0,883.0
2018,India,919.0,919.0
2019,India,940.0,940.0
2020,India,908.0,908.0
1990,Australia,86.0,86.0
1991,Australia,85.0,85.0
1992,Australia,87.0,87.0
1993,Australia,91.0,91.0
1994,Australia,91.0,91.0
1995,Australia,93.0,93.0
1996,Australia,99.0,99.0
1997,Australia,101.0,101.0
1998,Australia,104.0,104.0
1999,Australia,106.0,106.0
2000,Australia,108.0,108.0
2001,Australia,106.0,106.0
2002,Australia,109.0,109.0
2003,Australia,111.0,111.0
2004,Australia,113.0,113.0
2005,Australia,113.0,113.0
2006,Australia,118.0,118.0
2007,Australia,121.0,121.0
2008,Australia,126.0,126.0
2009,Australia,126.0,126.0
2010,Australia,126.0,126.0
2011,Australia,127.0,127.0
2012,Australia,126.0,126.0
2013,Australia,127.0,127.0
2014,Australia,127.0,127.0
2015,Australia,127.0,127.0
2016,Australia,127.0,127.0
2017,Australia,128.0,128.0
2018,Australia,128.0,128.0
2019,Australia,129.0,129.0
2020,Australia,126.0,126.0
1990,New Zealand,14.0,14.0
1991,New Zealand,14.0,14.0
1992,New Zealand,14.0,14.0
1993,New Zealand,15.0,15.0
1994,New Zealand,15.0,15.0
1995,New Zealand,15.0,15.0
1996,New Zealand,16.0,16.0
1997,New Zealand,16.0,16.0
1998,New Zealand,16.0,16.0
1999,New Zealand,17.0,17.0
2000,New Zealand,17.0,17.0
2001,New Zealand,17.0,17.0
2002,New Zealand,17.0,17.0
2003,New Zealand,17.0,17.0
2004,New Zealand,18.0,18.0
2005,New Zealand,17.0,17.0
2006,New Zealand,17.0,17.0
2007,New Zealand,17.0,17.0
2008,New Zealand,18.0,18.0
2009,New Zealand,18.0,18.0
2010,New Zealand,19.0,19.0
2011,New Zealand,18.0,18.0
2012,New Zealand,19.0,19.0
2013,New Zealand,19.0,19.0
2014,New Zealand,21.0,21.0
2015,New Zealand,21.0,21.0
2016,New Zealand,21.0,21.0
2017,New Zealand,21.0,21.0
2018,New Zealand,20.0,20.0
2019,New Zealand,21.0,21.0
2020,New Zealand,21.0,21.0
1990,Algeria,22.0,22.0
1991,Algeria,23.0,23.0
1992,Algeria,24.0,24.0
1993,Algeria,24.0,24.0
1994,Algeria,23.0,23.0
1995,Algeria,24.0,24.0
1996,Algeria,23.0,23.0
1997,Algeria,24.0,24.0
1998,Algeria,25.0,25.0
1999,Algeria,27.0,27.0
2000,Algeria,27.0,27.0
2001,Algeria,27.0,27.0
2002,Algeria,29.0,29.0
2003,Algeria,31.0,31.0
2004,Algeria,31.0,31.0
2005,Algeria,32.0,32.0
2006,Algeria,35.0,35.0
2007,Algeria,37.0,37.0
2008,Algeria,37.0,37.0
2009,Algeria,41.0,41.0
2010,Algeria,42.0,42.0
2011,Algeria,43.0,43.0
2012,Algeria,47.0,47.0
2013,Algeria,49.0,49.0
2014,Algeria,54.0,54.0
2015,Algeria,56.0,56.0
2016,Algeria,56.0,56.0
2017,Algeria,57.0,57.0
2018,Algeria,61.0,61.0
2019,Algeria,65.0,65.0
2020,Algeria,59.0,59.0
1990,Egypt,33.0,33.0
1991,Egypt,33.0,33.0
1992,Egypt,34.0,34.0
1993,Egypt,35.0,35.0
1994,Egypt,34.0,34.0
1995,Egypt,36.0,36.0
1996,Egypt,38.0,38.0
1997,Egypt,40.0,40.0
1998,Egypt,42.0,42.0
1999,Egypt,43.0,43.0
2000,Egypt,41.0,41.0
2001,Egypt,47.0,47.0
2002,Egypt,48.0,48.0
2003,Egypt,50.0,50.0
2004,Egypt,54.0,54.0
2005,Egypt,62.0,62.0
2006,Egypt,66.0,66.0
2007,Egypt,70.0,70.0
2008,Egypt,73.0,73.0
2009,Egypt,75.0,75.0
2010,Egypt,74.0,74.0
2011,Egypt,77.0,77.0
2012,Egypt,79.0,79.0
2013,Egypt,78.0,78.0
2014,Egypt,80.0,80.0
2015,Egypt,81.0,81.0
2016,Egypt,88.0,88.0
2017,Egypt,93.0,93.0
2018,Egypt,96.0,96.0
2019,Egypt,97.0,97.0
2020,Egypt,92.0,92.0
1990,Nigeria,66.0,66.0
1991,Nigeria,70.0,70.0
1992,Nigeria,72.0,72.0
1993,Nigeria,74.0,74.0
1994,Nigeria,72.0,72.0
1995,Nigeria,73.0,73.0
1996,Nigeria,76.0,76.0
1997,Nigeria,79.0,79.0
1998,Nigeria,80.0,80.0
1999,Nigeria,83.0,83.0
2000,Nigeria,87.0,87.0
2001,Nigeria,91.0,91.0
2002,Nigeria,94.0,94.0
2003,Nigeria,98.0,98.0
2004,Nigeria,99.0,99.0
2005,Nigeria,105.0,105.0
2006,Nigeria,106.0,106.0
2007,Nigeria,110.0,110.0
2008,Nigeria,113.0,113.0
2009,Nigeria,111.0,111.0
2010,Nigeria,127.0,127.0
2011,Nigeria,139.0,139.0
2012,Nigeria,140.0,140.0
2013,Nigeria,143.0,143.0
2014,Nigeria,147.0,147.0
2015,Nigeria,145.0,145.0
2016,Nigeria,150.0,150.0
2017,Nigeria,152.0,152.0
2018,Nigeria,160.0,160.0
2019,Nigeria,157.0,157.0
2020,Nigeria,159.0,159.0
1990,South Africa,90.0,90.0
1991,South Africa,92.0,92.0
1992,South Africa,88.0,88.0
1993,South Africa,94.0,94.0
1994,South Africa,98.0,98.0
1995,South Africa,104.0,104.0
1996,South Africa,107.0,107.0
1997,South Africa,109.0,109.0
1998,South Africa,111.0,111.0
1999,South Africa,109.0,109.0
2000,South Africa,109.0,109.0
2001,South Africa,105.0,105.0
2002,South Africa,100.0,100.0
2003,South Africa,113.0,113.0
2004,South Africa,123.0,123.0
2005,South Africa,118.0,118.0
2006,South Africa,120.0,120.0
2007,South Africa,131.0,131.0
2008,South Africa,142.0,142.0
2009,South Africa,144.0,144.0
2010,South Africa,134.0,134.0
2011,South Africa,137.0,137.0
2012,South Africa,131.0,131.0
2013,South Africa,130.0,130.0
2014,South Africa,138.0,138.0
2015,South Africa,129.0,129.0
2016,South Africa,135.0,135.0
2017,South Africa,136.0,136.0
2018,South Africa,134.0,134.0
2019,South Africa,129.0,129.0
2020,South Africa,124.0,124.0
1990,Iran,69.0,69.0
1991,Iran,77.0,77.0
1992,Iran,81.0,81.0
1993,Iran,87.0,87.0
1994,Iran,97.0,97.0
1995,Iran,101.0,101.0
1996,Iran,98.0,98.0
1997,Iran,109.0,109.0
1998,Iran,111.0,111.0
1999,Iran,126.0,126.0
2000,Iran,123.0,123.0
2001,Iran,133.0,133.0
2002,Iran,138.0,138.0
2003,Iran,143.0,143.0
2004,Iran,156.0,156.0
2005,Iran,173.0,173.0
2006,Iran,180.0,180.0
2007,Iran,191.0,191.0
2008,Iran,205.0,205.0
2009,Iran,204.0,204.0
2010,Iran,204.0,204.0
2011,Iran,208.0,208.0
2012,Iran,218.0,218.0
2013,Iran,222.0,222.0
2014,Iran,238.0,238.0
2015,Iran,238.0,238.0
2016,Iran,246.0,246.0
2017,Iran,262.0,262.0
2018,Iran,266.0,266.0
2019,Iran,269.0,269.0
2020,Iran,268.0,268.0
1990,Kuwait,9.0,9.0
1991,Kuwait,3.0,3.0
1992,Kuwait,9.0,9.0
1993,Kuwait,12.0,12.0
1994,Kuwait,14.0,14.0
1995,Kuwait,15.0,15.0
1996,Kuwait,14.0,14.0
1997,Kuwait,15.0,15.0
1998,Kuwait,17.0,17.0
1999,Kuwait,18.0,18.0
2000,Kuwait,19.0,19.0
2001,Kuwait,20.0,20.0
2002,Kuwait,20.0,20.0
2003,Kuwait,21.0,21.0
2004,Kuwait,24.0,24.0
2005,Kuwait,27.0,27.0
2006,Kuwait,25.0,25.0
2007,Kuwait,25.0,25.0
2008,Kuwait,28.0,28.0
2009,Kuwait,29.0,29.0
2010,Kuwait,29.0,29.0
2011,Kuwait,28.0,28.0
2012,Kuwait,29.0,29.0
2013,Kuwait,30.0,30.0
2014,Kuwait,27.0,27.0
2015,Kuwait,33.0,33.0
2016,Kuwait,36.0,36.0
2017,Kuwait,34.0,34.0
2018,Kuwait,34.0,34.0
2019,Kuwait,36.0,36.0
2020,Kuwait,38.0,38.0
1990,Saudi Arabia,58.0,58.0
1991,Saudi Arabia,68.0,68.0
1992,Saudi Arabia,77.0,77.0
1993,Saudi Arabia,80.0,80.0
1994,Saudi Arabia,84.0,84.0
1995,Saudi Arabia,85.0,85.0
1996,Saudi Arabia,90.0,90.0
1997,Saudi Arabia,86.0,86.0
1998,Saudi Arabia,92.0,92.0
1999,Saudi Arabia,94.0,94.0
2000,Saudi Arabia,98.0,98.0
2001,Saudi Arabia,100.0,100.0
2002,Saudi Arabia,114.0,114.0
2003,Saudi Arabia,115.0,115.0
2004,Saudi Arabia,115.0,115.0
2005,Saudi Arabia,123.0,123.0
2006,Saudi Arabia,132.0,132.0
2007,Saudi Arabia,138.0,138.0
2008,Saudi Arabia,151.0,151.0
2009,Saudi Arabia,159.0,159.0
2010,Saudi Arabia,175.0,175.0
2011,Saudi Arabia,184.0,184.0
2012,Saudi Arabia,189.0,189.0
2013,Saudi Arabia,188.0,188.0
2014,Saudi Arabia,207.0,207.0
2015,Saudi Arabia,216.0,216.0
2016,Saudi Arabia,215.0,215.0
2017,Saudi Arabia,219.0,219.0
2018,Saudi Arabia,214.0,214.0
2019,Saudi Arabia,215.0,215.0
2020,Saudi Arabia,209.0,209.0
1990,United Arab Emirates,20.0,20.0
1991,United Arab Emirates,23.0,23.0
1992,United Arab Emirates,22.0,22.0
1993,United Arab Emirates,23.0,23.0
1994,United Arab Emirates,26.0,26.0
1995,United Arab Emirates,28.0,28.0
1996,United Arab Emirates,29.0,29.0
1997,United Arab Emirates,31.0,31.0
1998,United Arab Emirates,32.0,32.0
1999,United Arab Emirates,32.0,32.0
2000,United Arab Emirates,31.0,31.0
2001,United Arab Emirates,40.0,40.0
2002,United Arab Emirates,39.0,39.0
2003,United Arab Emirates,38.0,38.0
2004,United Arab Emirates,42.0,42.0
2005,United Arab Emirates,44.0,44.0
2006,United Arab Emirates,46.0,46.0
2007,United Arab Emirates,50.0,50.0
2008,United Arab Emirates,59.0,59.0
2009,United Arab Emirates,64.0,64.0
2010,United Arab Emirates,61.0,61.0
2011,United Arab Emirates,60.0,60.0
2012,United Arab Emirates,64.0,64.0
2013,United Arab Emirates,68.0,68.0
2014,United Arab Emirates,74.0,74.0
2015,United Arab Emirates,76.0,76.0
2016,United Arab Emirates,79.0,79.0
2017,United Arab Emirates,78.0,78.0
2018,United Arab Emirates,78.0,78.0
2019,United Arab Emirates,83.0,83.0
2020,United Arab Emirates,81.0,81.0
1990,China_Growth_Rate,,
1991,China_Growth_Rate,-2.9748283752860427,-2.9748283752860427
1992,China_Growth_Rate,3.4198113207547065,3.4198113207547065
1993,China_Growth_Rate,5.929304446978345,5.929304446978345
1994,China_Growth_Rate,4.736275565123793,4.736275565123793
1995,China_Growth_Rate,7.3997944501541735,7.3997944501541735
1996,China_Growth_Rate,2.775119617224875,2.775119617224875
1997,China_Growth_Rate,-0.09310986964617962,-0.09310986964617962
1998,China_Growth_Rate,0.5591798695246952,0.5591798695246952
1999,China_Growth_Rate,1.853568118628357,1.853568118628357
2000,China_Growth_Rate,2.82074613284804,2.82074613284804
2001,China_Growth_Rate,3.3628318584070893,3.3628318584070893
2002,China_Growth_Rate,6.678082191780832,6.678082191780832
2003,China_Growth_Rate,13.96468699839486,13.96468699839486
2004,China_Growth_Rate,13.732394366197177,13.732394366197177
2005,China_Growth_Rate,10.340557275541794,10.340557275541794
2006,China_Growth_Rate,9.427609427609429,9.427609427609429
2007,China_Growth_Rate,7.641025641025645,7.641025641025645
2008,China_Growth_Rate,2.667937112910912,2.667937112910912
2009,China_Growth_Rate,6.589327146171686,6.589327146171686
2010,China_Growth_Rate,10.404875925119716,10.404875925119716
2011,China_Growth_Rate,7.373817034700325,7.373817034700325
2012,China_Growth_Rate,3.5989717223650297,3.5989717223650297
2013,China_Growth_Rate,3.2258064516129004,3.2258064516129004
2014,China_Growth_Rate,1.8543956043955978,1.8543956043955978
2015,China_Growth_Rate,0.9440323668240103,0.9440323668240103
2016,China_Growth_Rate,-0.5678022712090836,-0.5678022712090836
2017,China_Growth_Rate,3.1239502855223478,3.1239502855223478
2018,China_Growth_Rate,4.26710097719869,4.26710097719869
2019,China_Growth_Rate,3.373945641986875,3.373945641986875
2020,China_Growth_Rate,2.1758839528558394,2.1758839528558394
1990,United States_Growth_Rate,,
1991,United States_Growth_Rate,0.7853403141361293,0.7853403141361293
1992,United States_Growth_Rate,2.02597402597402,2.02597402597402
1993,United States_Growth_Rate,1.731160896130346,1.731160896130346
1994,United States_Growth_Rate,1.9019019019018923,1.9019019019018923
1995,United States_Growth_Rate,1.3261296660117772,1.3261296660117772
1996,United States_Growth_Rate,2.1812893843916603,2.1812893843916603
1997,United States_Growth_Rate,1.0436432637571214,1.0436432637571214
1998,United States_Growth_Rate,0.8450704225352101,0.8450704225352101
1999,United States_Growth_Rate,2.7001862197392867,2.7001862197392867
2000,United States_Growth_Rate,2.855847688123303,2.855847688123303
2001,United States_Growth_Rate,-1.8951079770824109,-1.8951079770824109
2002,United States_Growth_Rate,1.3477088948786964,1.3477088948786964
2003,United States_Growth_Rate,0.26595744680850686,0.26595744680850686
2004,United States_Growth_Rate,2.0335985853227267,2.0335985853227267
2005,United States_Growth_Rate,0.5199306759098743,0.5199306759098743
2006,United States_Growth_Rate,-0.9482758620689702,-0.9482758620689702
2007,United States_Growth_Rate,1.7406440382941701,1.7406440382941701
2008,United States_Growth_Rate,-2.566295979469635,-2.566295979469635
2009,United States_Growth_Rate,-4.960491659350308,-4.960491659350308
2010,United States_Growth_Rate,2.4018475750577473,2.4018475750577473
2011,United States_Growth_Rate,-1.1727559765448814,-1.1727559765448814
2012,United States_Growth_Rate,-1.780009128251936,-1.780009128251936
2013,United States_Growth_Rate,1.7657992565055736,1.7657992565055736
2014,United States_Growth_Rate,1.187214611872145,1.187214611872145
2015,United States_Growth_Rate,-1.0830324909747335,-1.0830324909747335
2016,United States_Growth_Rate,-1.0948905109489093,-1.0948905109489093
2017,United States_Growth_Rate,-0.3228782287822862,-0.3228782287822862
2018,United States_Growth_Rate,3.470615455807491,3.470615455807491
2019,United States_Growth_Rate,-0.9838998211091243,-0.9838998211091243
2020,United States_Growth_Rate,-7.5880758807588045,-7.5880758807588045
1990,Brazil_Growth_Rate,,
1991,Brazil_Growth_Rate,1.4184397163120588,1.4184397163120588
1992,Brazil_Growth_Rate,1.3986013986013957,1.3986013986013957
1993,Brazil_Growth_Rate,2.0689655172413834,2.0689655172413834
1994,Brazil_Growth_Rate,5.405405405405395,5.405405405405395
1995,Brazil_Growth_Rate,3.8461538461538547,3.8461538461538547
1996,Brazil_Growth_Rate,4.938271604938271,4.938271604938271
1997,Brazil_Growth_Rate,5.294117647058827,5.294117647058827
1998,Brazil_Growth_Rate,2.2346368715083775,2.2346368715083775
1999,Brazil_Growth_Rate,2.1857923497267784,2.1857923497267784
2000,Brazil_Growth_Rate,0.5347593582887722,0.5347593582887722
2001,Brazil_Growth_Rate,1.5957446808510634,1.5957446808510634
2002,Brazil_Growth_Rate,2.617801047120416,2.617801047120416
2003,Brazil_Growth_Rate,1.5306122448979664,1.5306122448979664
2004,Brazil_Growth_Rate,6.030150753768848,6.030150753768848
2005,Brazil_Growth_Rate,2.369668246445489,2.369668246445489
2006,Brazil_Growth_Rate,3.703703703703698,3.703703703703698
2007,Brazil_Growth_Rate,5.35714285714286,5.35714285714286
2008,Brazil_Growth_Rate,5.932203389830515,5.932203389830515
2009,Brazil_Growth_Rate,-3.200000000000003,-3.200000000000003
2010,Brazil_Growth_Rate,10.330578512396693,10.330578512396693
2011,Brazil_Growth_Rate,1.4981273408239737,1.4981273408239737
2012,Brazil_Growth_Rate,4.0590405904058935,4.0590405904058935
2013,Brazil_Growth_Rate,4.255319148936176,4.255319148936176
2014,Brazil_Growth_Rate,3.0612244897959107,3.0612244897959107
2015,Brazil_Growth_Rate,-1.980198019801982,-1.980198019801982
2016,Brazil_Growth_Rate,-3.367003367003363,-3.367003367003363
2017,Brazil_Growth_Rate,1.7421602787456525,1.7421602787456525
2018,Brazil_Growth_Rate,-1.3698630136986356,-1.3698630136986356
2019,Brazil_Growth_Rate,1.736111111111116,1.736111111111116
2020,Brazil_Growth_Rate,-2.3890784982935176,-2.3890784982935176
1990,Belgium_Growth_Rate,,
1991,Belgium_Growth_Rate,4.166666666666674,4.166666666666674
1992,Belgium_Growth_Rate,2.0000000000000018,2.0000000000000018
1993,Belgium_Growth_Rate,-3.9215686274509776,-3.9215686274509776
1994,Belgium_Growth_Rate,6.1224489795918435,6.1224489795918435
1995,Belgium_Growth_Rate,1.9230769230769162,1.9230769230769162
1996,Belgium_Growth_Rate,5.660377358490565,5.660377358490565
1997,Belgium_Growth_Rate,0.0,0.0
1998,Belgium_Growth_Rate,1.7857142857142794,1.7857142857142794
1999,Belgium_Growth_Rate,0.0,0.0
2000,Belgium_Growth_Rate,1.7543859649122862,1.7543859649122862
2001,Belgium_Growth_Rate,0.0,0.0
2002,Belgium_Growth_Rate,-3.4482758620689613,-3.4482758620689613
2003,Belgium_Growth_Rate,3.571428571428581,3.571428571428581
2004,Belgium_Growth_Rate,0.0,0.0
2005,Belgium_Growth_Rate,0.0,0.0
2006,Belgium_Growth_Rate,-1.7241379310344862,-1.7241379310344862
2007,Belgium_Growth_Rate,-1.7543859649122862,-1.7543859649122862
2008,Belgium_Growth_Rate,3.571428571428581,3.571428571428581
2009,Belgium_Growth_Rate,-3.4482758620689613,-3.4482758620689613
2010,Belgium_Growth_Rate,7.14285714285714,7.14285714285714
2011,Belgium_Growth_Rate,-6.666666666666665,-6.666666666666665
2012,Belgium_Growth_Rate,-5.35714285714286,-5.35714285714286
2013,Belgium_Growth_Rate,5.660377358490565,5.660377358490565
2014,Belgium_Growth_Rate,-5.35714285714286,-5.35714285714286
2015,Belgium_Growth_Rate,-1.8867924528301883,-1.8867924528301883
2016,Belgium_Growth_Rate,7.692307692307687,7.692307692307687
2017,Belgium_Growth_Rate,-1.7857142857142905,-1.7857142857142905
2018,Belgium_Growth_Rate,-3.6363636363636376,-3.6363636363636376
2019,Belgium_Growth_Rate,3.7735849056603765,3.7735849056603765
2020,Belgium_Growth_Rate,-7.272727272727275,-7.272727272727275
1990,Czechia_Growth_Rate,,
1991,Czechia_Growth_Rate,-9.999999999999998,-9.999999999999998
1992,Czechia_Growth_Rate,-2.2222222222222254,-2.2222222222222254
1993,Czechia_Growth_Rate,-2.2727272727272707,-2.2727272727272707
1994,Czechia_Growth_Rate,-4.651162790697672,-4.651162790697672
1995,Czechia_Growth_Rate,2.4390243902439046,2.4390243902439046
1996,Czechia_Growth_Rate,2.3809523809523725,2.3809523809523725
1997,Czechia_Growth_Rate,0.0,0.0
1998,Czechia_Growth_Rate,-2.3255813953488413,-2.3255813953488413
1999,Czechia_Growth_Rate,-7.14285714285714,-7.14285714285714
2000,Czechia_Growth_Rate,5.128205128205132,5.128205128205132
2001,Czechia_Growth_Rate,2.4390243902439046,2.4390243902439046
2002,Czechia_Growth_Rate,2.3809523809523725,2.3809523809523725
2003,Czechia_Growth_Rate,4.651162790697683,4.651162790697683
2004,Czechia_Growth_Rate,2.2222222222222143,2.2222222222222143
2005,Czechia_Growth_Rate,-2.1739130434782594,-2.1739130434782594
2006,Czechia_Growth_Rate,2.2222222222222143,2.2222222222222143
2007,Czechia_Growth_Rate,0.0,0.0
2008,Czechia_Growth_Rate,-2.1739130434782594,-2.1739130434782594
2009,Czechia_Growth_Rate,-4.444444444444439,-4.444444444444439
2010,Czechia_Growth_Rate,4.651162790697683,4.651162790697683
2011,Czechia_Growth_Rate,-4.444444444444439,-4.444444444444439
2012,Czechia_Growth_Rate,0.0,0.0
2013,Czechia_Growth_Rate,0.0,0.0
2014,Czechia_Growth_Rate,-2.3255813953488413,-2.3255813953488413
2015,Czechia_Growth_Rate,0.0,0.0
2016,Czechia_Growth_Rate,-2.3809523809523836,-2.3809523809523836
2017,Czechia_Growth_Rate,4.878048780487809,4.878048780487809
2018,Czechia_Growth_Rate,0.0,0.0
2019,Czechia_Growth_Rate,0.0,0.0
2020,Czechia_Growth_Rate,-9.302325581395355,-9.302325581395355
1990,France_Growth_Rate,,
1991,France_Growth_Rate,5.333333333333323,5.333333333333323
1992,France_Growth_Rate,-1.2658227848101222,-1.2658227848101222
1993,France_Growth_Rate,1.7094017094017033,1.7094017094017033
1994,France_Growth_Rate,-2.941176470588236,-2.941176470588236
1995,France_Growth_Rate,3.8961038961038863,3.8961038961038863
1996,France_Growth_Rate,4.583333333333339,4.583333333333339
1997,France_Growth_Rate,-2.7888446215139417,-2.7888446215139417
1998,France_Growth_Rate,3.2786885245901676,3.2786885245901676
1999,France_Growth_Rate,0.0,0.0
2000,France_Growth_Rate,1.1904761904761862,1.1904761904761862
2001,France_Growth_Rate,1.9607843137254832,1.9607843137254832
2002,France_Growth_Rate,0.38461538461538325,0.38461538461538325
2003,France_Growth_Rate,2.6819923371647514,2.6819923371647514
2004,France_Growth_Rate,1.1194029850746245,1.1194029850746245
2005,France_Growth_Rate,0.7380073800737907,0.7380073800737907
2006,France_Growth_Rate,-1.831501831501836,-1.831501831501836
2007,France_Growth_Rate,-1.1194029850746245,-1.1194029850746245
2008,France_Growth_Rate,0.37735849056603765,0.37735849056603765
2009,France_Growth_Rate,-4.135338345864659,-4.135338345864659
2010,France_Growth_Rate,3.1372549019607954,3.1372549019607954
2011,France_Growth_Rate,-1.9011406844106515,-1.9011406844106515
2012,France_Growth_Rate,0.0,0.0
2013,France_Growth_Rate,0.3875968992248069,0.3875968992248069
2014,France_Growth_Rate,-3.8610038610038644,-3.8610038610038644
2015,France_Growth_Rate,1.6064257028112428,1.6064257028112428
2016,France_Growth_Rate,-1.9762845849802368,-1.9762845849802368
2017,France_Growth_Rate,-0.40322580645161255,-0.40322580645161255
2018,France_Growth_Rate,-0.4048582995951455,-0.4048582995951455
2019,France_Growth_Rate,-1.2195121951219523,-1.2195121951219523
2020,France_Growth_Rate,-10.699588477366252,-10.699588477366252
1990,Germany_Growth_Rate,,
1991,Germany_Growth_Rate,-1.9943019943019946,-1.9943019943019946
1992,Germany_Growth_Rate,-1.744186046511631,-1.744186046511631
